Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,3.580000,3.600000,3.320000,3.340000,3.340000,2217800
2021-03-24,3.430000,3.560000,2.910000,3.040000,3.040000,3046600
2021-03-25,2.750000,3.300000,2.600000,3.300000,3.300000,4227200
2021-03-26,3.380000,3.450000,3.180000,3.300000,3.300000,1598100
2021-03-29,3.450000,3.500000,3.350000,3.440000,3.440000,1960100
2021-03-30,3.470000,3.500000,3.310000,3.500000,3.500000,1907100
2021-03-31,3.500000,3.930000,3.400000,3.900000,3.900000,2985900
2021-04-01,4.000000,4.140000,3.900000,3.970000,3.970000,2443500
2021-04-05,4.070000,4.390000,4.010000,4.340000,4.340000,3946400
2021-04-06,4.350000,4.500000,4.000000,4.020000,4.020000,2464500
2021-04-07,3.800000,4.050000,3.760000,3.980000,3.980000,3828700
2021-04-08,4.040000,4.150000,4.000000,4.100000,4.100000,1524200
2021-04-09,4.270000,4.280000,4.000000,4.010000,4.010000,1723200
2021-04-12,4.120000,4.190000,3.830000,4.080000,4.080000,2167300
2021-04-13,4.180000,4.200000,3.930000,4.000000,4.000000,3080700
2021-04-14,4.010000,4.100000,3.360000,3.470000,3.470000,4737000
2021-04-15,3.600000,3.790000,3.480000,3.770000,3.770000,2797400
2021-04-16,3.600000,3.650000,3.440000,3.500000,3.500000,2265200
2021-04-19,3.300000,3.680000,2.900000,3.240000,3.240000,5115600
2021-04-20,3.110000,3.350000,3.030000,3.180000,3.180000,2011500
2021-04-21,3.110000,3.320000,3.050000,3.090000,3.090000,1663200
2021-04-22,3.140000,3.240000,2.890000,2.900000,2.900000,2815500
2021-04-23,2.670000,2.870000,2.580000,2.850000,2.850000,3768800
2021-04-26,3.000000,3.210000,3.000000,3.170000,3.170000,1844100
2021-04-27,3.200000,3.300000,3.120000,3.170000,3.170000,2374300
2021-04-28,3.180000,3.220000,3.090000,3.190000,3.190000,993600
2021-04-29,3.220000,3.220000,2.950000,2.990000,2.990000,2161200
2021-04-30,3.030000,3.810000,3.010000,3.750000,3.750000,2695100
2021-05-03,3.840000,3.870000,3.560000,3.730000,3.730000,3422200
2021-05-04,3.670000,3.670000,3.330000,3.420000,3.420000,2360100
2021-05-05,3.420000,3.690000,3.320000,3.340000,3.340000,1741300
